date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:56	355/355	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202026%2020:21:55%20GMT	https://www.lukajuhart.com/robots.txt		(from )
21:21:56	69953/69953	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Mar%202026%2020:21:55%20GMT	https://www.lukajuhart.com/	./luka-v2/www.lukajuhart.com/index.html	(from )
21:21:57	2277/2277	---MC-	200	added ('OK')	application/json	date:Tue,%2017%20Mar%202026%2020:21:56%20GMT	https://www.lukajuhart.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.lukajuhart.com%2F	./luka-v2/www.lukajuhart.com/indexf67a.json	(from https://www.lukajuhart.com/)
21:21:58	2431/2431	---MC-	200	added ('OK')	text/xml	date:Tue,%2017%20Mar%202026%2020:21:57%20GMT	https://www.lukajuhart.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.lukajuhart.com%2F&format=xml	./luka-v2/www.lukajuhart.com/index3e58.php	(from https://www.lukajuhart.com/)
21:21:59	83402/83402	---M--	200	added ('OK')	text/css	etag:%22145ca-56d054b87ac40%22	https://www.lukajuhart.com/wp-content/themes/twentyseventeen/style.css?ver=6.9.4	./luka-v2/www.lukajuhart.com/wp-content/themes/twentyseventeen/styleb34e.css	(from https://www.lukajuhart.com/)
21:22:00	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2215601-64d3dbbac24a6%22	https://www.lukajuhart.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	./luka-v2/www.lukajuhart.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.lukajuhart.com/)
21:22:00	1559/1559	---MC-	200	added ('OK')	application/rss+xml	etag:%22e8aeb29b696176029fb704b3be7374fc%22	https://www.lukajuhart.com/?feed=rss2	./luka-v2/www.lukajuhart.com/indexd784.html	(from https://www.lukajuhart.com/)
21:22:00	762/762	---MC-	200	added ('OK')	application/rss+xml	etag:%22e8aeb29b696176029fb704b3be7374fc%22	https://www.lukajuhart.com/?feed=comments-rss2	./luka-v2/www.lukajuhart.com/indexa6da.html	(from https://www.lukajuhart.com/)
21:22:00	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%223509-64d3dbbabbf16%22	https://www.lukajuhart.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	./luka-v2/www.lukajuhart.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.lukajuhart.com/)
21:22:01	295/295	---MC-	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202026%2020:21:59%20GMT	https://www.lukajuhart.com/?sccss=1&ver=6.9.4	./luka-v2/www.lukajuhart.com/indexbc8f.html	(from https://www.lukajuhart.com/)
